Unit,Site,AQS ID,Latitude,Longitude,Y,X,Elevation,Parameter,Start,End,active,Years,Period,Interval,Measurement Scale,Operating Agency,Network,Network Site Abbr
Yosemite National Park                                                                                                                                                                                                                                    ,Merced River,06-043-0033,37.7431,-119.5939,-30301.5178687917,35736.3746152127,1219,Ozone                                             ,08/01/2002,12/31/2005,no,3,year-round,1-hour average,default,NPS,NPS-GPMP,YOMR
Yosemite National Park                                                                                                                                                                                                                                    ,Mobile,06-043-1002,37.7481,-119.5917,-29744.8583200211,35927.5773873576,1219,Portable Ozone,04/27/2007,07/10/2008,no,1,summer ozone season,1-hour average,default,NPS,NPS-POMS,YOSE-MO
Yosemite National Park                                                                                                                                                                                                                                    ,Mobile 2 (Lake Tenaya),06-043-1003,37.8375,-119.45,-19743.6987524522,48338.4224769345,2487,Portable Ozone,06/28/2007,09/30/2007,no,<1,summer ozone season,1-hour average,default,NPS,NPS-POMS,YOSE-M2
Yosemite National Park                                                                                                                                                                                                                                    ,Mobile 3 (Glacier Point),06-043-1005,37.7306,-119.5744,-31683.559735117,37458.58080778,2088,Portable Ozone,07/14/2008,09/30/2012,no,4,summer ozone season,1-hour average,default,NPS,NPS-POMS,YOSE-M3
Yosemite National Park                                                                                                                                                                                                                                    ,School Yard,06-043-1004,37.7478,-119.5917,-29778.2080062651,35927.7210111559,1234,Portable Ozone,06/07/2006,09/30/2012,no,6,summer ozone season,1-hour average,default,NPS,NPS-POMS,YOSE-SY
Yosemite National Park                                                                                                                                                                                                                                    ,Tioga Pass,,37.9108,-119.2586,-11480.8468803223,65096.1741988939,3037,Portable Ozone,07/20/2005,09/22/2005,no,<1,summer ozone season,1-hour average,default,NPS,NPS-POMS,
Yosemite National Park                                                                                                                                                                                                                                    ,Turtleback Dome,06-043-0003,37.7133,-119.7061,-33650.7148427977,25873.1991321061,1603,Carbon Monoxide                                   ,06/07/2006,10/23/2007,no,1,year-round,1-hour average,default,NPS,NPS-GPMP,YOSE-TD
Yosemite National Park                                                                                                                                                                                                                                    ,Turtleback Dome,06-043-0003,37.7133,-119.7061,-33650.7148427977,25873.1991321061,1603,Nitric Oxide,06/07/2006,08/31/2007,no,1,year-round,1-hour average,default,NPS,NPS-GPMP,YOSE-TD
Yosemite National Park                                                                                                                                                                                                                                    ,Turtleback Dome,06-043-0003,37.7133,-119.7061,-33650.7148427977,25873.1991321061,1603,Nitrogen Dioxide                                  ,06/07/2006,08/31/2007,no,1,year-round,1-hour average,default,NPS,NPS-GPMP,YOSE-TD
Yosemite National Park                                                                                                                                                                                                                                    ,Turtleback Dome,06-043-0003,37.7133,-119.7061,-33650.7148427977,25873.1991321061,1603,Oxides of Nitrogen                                ,06/07/2006,08/31/2007,no,1,year-round,1-hour average,default,NPS,NPS-GPMP,YOSE-TD
Yosemite National Park                                                                                                                                                                                                                                    ,Turtleback Dome,06-043-0003,37.7133,-119.7061,-33650.7148427977,25873.1991321061,1603,Ozone                                             ,01/01/1992,12/01/1992,no,<1,year-round,1-hour average,default,NPS,NPS-GPMP,YOSE-TD
Yosemite National Park                                                                                                                                                                                                                                    ,Turtleback Dome,06-043-0003,37.7133,-119.7061,-33650.7148427977,25873.1991321061,1603,Sulfur Dioxide                                    ,03/09/88,12/29/07,no,19,,2-hour average,default,NPS,NPS-GPMP,YOSE-TD
Yosemite National Park                                                                                                                                                                                                                                    ,Visitor Center,06-043-0001,37.7456,-119.6036,-30027.2162838941,34881.6278285349,1524,Ozone                                             ,01/01/1976,12/31/1976,no,<1,year-round,1-hour average,default,NPS,NPS-GPMP,YOSE-VI
Yosemite National Park                                                                                                                                                                                                                                    ,Wawona Valley,06-043-0004,37.5358,-119.6517,-53366.2930405922,30734.7195076993,1220,Ozone                                             ,04/01/1987,10/01/1996,no,9,year-round,1-hour average,default,NPS,NPS-GPMP,YOWV
Yosemite National Park                                                                                                                                                                                                                                    ,Yosemite Valley,06-043-0005,37.7503,-119.5869,-29498.4643499507,36348.8759240358,1219,Carbon Monoxide                                   ,01/01/1992,07/31/1992,no,<1,year-round,1-hour average,default,NPS,NPS-GPMP,YOYV
Yosemite National Park                                                                                                                                                                                                                                    ,Yosemite Valley,06-043-0005,37.7503,-119.5869,-29498.4643499507,36348.8759240358,1219,Ozone                                             ,12/01/1989,11/30/1994,no,5,year-round,1-hour average,default,NPS,NPS-GPMP,YOYV
,WMRC/NCORE,06-027-0002,37.360684,-118.330783,-71589.6636504019,147630.630518953,1257,Carbon Monoxide                                   ,01/09/16,03/04/26,no,10,,1-hour average,regional,Great Basin Unified APCD ,,
,WMRC/NCORE,06-027-0002,37.360684,-118.330783,-71589.6636504019,147630.630518953,1257,Ozone                                             ,01/01/15,,yes,11,,1-hour average,regional,Great Basin Unified APCD ,,
,WMRC/NCORE,06-027-0002,37.360684,-118.330783,-71589.6636504019,147630.630518953,1257,Sulfur Dioxide                                    ,09/01/16,12/31/25,no,9,,5-minute average,regional,Great Basin Unified APCD ,,
,Bishop-157 Short Street,06-027-0015,37.360762,-118.394832,-71678.8145743492,141966.347344215,1256,Carbon Monoxide                                   ,01/01/90,04/12/95,no,5,,1-hour average,default,Mojave Desert AQMD ,,
,Bishop-157 Short Street,06-027-0015,37.360762,-118.394832,-71678.8145743492,141966.347344215,1256,Ozone                                             ,07/01/91,04/12/95,no,,,1-hour average,default,Mojave Desert AQMD ,,
,Madera-Pump Yard,06-039-0004,36.867125,-120.010158,-127751.666338076,-904.328925302146,0,Carbon Monoxide                                   ,11/20/14,12/31/18,no,4,,1-hour average,regional,California Air Resources Board,,
,Arvin-Di Giorgio ,06-029-5002,35.23918,-118.78863,-307925.449674626,110151.838550443,145,Carbon Monoxide                                   ,09/18/13,12/31/18,no,5,,1-hour average,regional,California Air Resources Board,,
,SHAVER LAKE SUMMMER OZONE SITE ,06-019-0010,37.13828,-119.267624,-97360.8450699169,64967.2381854213,0,Ozone                                             ,08/01/95,10/31/02,no,7,,1-hour average,default,,,
,Bishop Tribe EMO,06-027-1023,37.362137,-118.417478,-71559.6584801613,139961.096635597,1289,Ozone                                             ,10/14/07,09/30/24,no,17,,1-hour average,neighborhood,"Paiute-Shoshone Indians of Bishop Community of Bishop Colony, CA",,
,Mammoth Lakes,06-051-0001,37.64571,-118.96652,-40708.2223059358,91061.6485209913,2395,Ozone                                             ,01/01/84,10/08/04,no,20,,1-hour average,default,Great Basin Unified APCD ,,
,Hoover,06-051-9000 ,38.088023,-119.178069,8277.99105992168,71995.9680377029,2561,Sulfur Dioxide                                    ,06/02/03,12/29/07,no,4,,24-hour average,default,NPS,,
,Kaiser,06-019-9000,37.22064,-119.155557,-88123.5099648149,74826.6340861739,2598,Sulfur Dioxide                                    ,01/26/00,12/29/07,no,7,,24-hour average,default,NPS,,
,Dome Lands Wilderness ,06-029-9901,35.69868,-118.203013,-256052.884913728,162430.316397457,914,Sulfur Dioxide                                    ,08/10/94,10/03/98,no,4,,24-hour average,default,NPS,,
