Camera,Site ID,Organization,Active Status,Online Status,County,Colocated Cameras,Longitude ,Latitude,Camera URL,Network URL,Image URL
Whitney Portal 2,whitneyportal,alertcalifornia,active,online,Inyo,Whitney Portal 1,-118.14,36.59,https://cameras.alertcalifornia.org/?id=Axis-WhitneyPortal2,https://cameras.alertcalifornia.org/?pos=36.59_-118.14_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-WhitneyPortal2/latest-frame.jpg
Alabama Hills 1 ,alabamahills,alertcalifornia,active,online,Inyo,Alabama Hills 2,-118.08,36.56,https://cameras.alertcalifornia.org/?id=Axis-AlabamaHills1,https://cameras.alertcalifornia.org/?pos=36.56_-118.08_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-AlabamaHills1/latest-frame.jpg
Alabama Hills 2 ,alabamahills,alertcalifornia,active,online,Inyo,Alabama Hills 1,-118.08,36.56,https://cameras.alertcalifornia.org/?id=Axis-AlabamaHills2,https://cameras.alertcalifornia.org/?pos=36.56_-118.08_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-AlabamaHills2/latest-frame.jpg
Lone Pine 1,lonepine,alertcalifornia,active,online,Inyo,Lone Pine 2,-118.05,36.6,https://cameras.alertcalifornia.org/?id=Axis-LonePine1,https://cameras.alertcalifornia.org/?pos=36.60_-118.05_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-LonePine1/latest-frame.jpg
Lone Pine 2,lonepine,alertcalifornia,active,online,Inyo,Lone Pine 1,-118.05,36.6,https://cameras.alertcalifornia.org/?id=Axis-LonePine2,https://cameras.alertcalifornia.org/?pos=36.60_-118.05_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-LonePine2/latest-frame.jpg
Cerro Gordo 1,cerrogordo,alertcalifornia,active,online,Inyo,Cerro Gordo 2,-117.79,36.53,https://cameras.alertcalifornia.org/?id=Axis-CerroGordo1,https://cameras.alertcalifornia.org/?pos=36.53_-117.79_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-CerroGordo1/latest-frame.jpg
Cerro Gordo 2,cerrogordo,alertcalifornia,active,online,Inyo,Cerro Gordo 1,-117.79,36.53,https://cameras.alertcalifornia.org/?id=Axis-CerroGordo2,https://cameras.alertcalifornia.org/?pos=36.53_-117.79_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-CerroGordo2/latest-frame.jpg
Cartago 1,cartago,alertcalifornia,active,online,Inyo,Cartago 2,-118.02,36.32,https://cameras.alertcalifornia.org/?id=Axis-Cartago1,https://cameras.alertcalifornia.org/?pos=36.32_-118.02_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Cartago1/latest-frame.jpg
Cartago 2,cartago,alertcalifornia,active,online,Inyo,Cartago 1,-118.02,36.32,https://cameras.alertcalifornia.org/?id=Axis-Cartago2,https://cameras.alertcalifornia.org/?pos=36.32_-118.02_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Cartago2/latest-frame.jpg
Olancha 1,olancha,alertcalifornia,active,online,Inyo,Olancha 2,-118,36.27,https://cameras.alertcalifornia.org/?id=Axis-Olancha1,https://cameras.alertcalifornia.org/?pos=36.27_-118.00_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Olancha1/latest-frame.jpg
Olancha 2,olancha,alertcalifornia,active,online,Inyo,Olancha 1,-118,36.27,https://cameras.alertcalifornia.org/?id=Axis-Olancha2,https://cameras.alertcalifornia.org/?pos=36.27_-118.00_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Olancha2/latest-frame.jpg
Porterville 1,porterville,alertcalifornia,active,online,Tulare,Porterville 2,-118.96,36.08,https://cameras.alertcalifornia.org/?id=Axis-Porterville1,https://cameras.alertcalifornia.org/?pos=36.08_-118.96_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Porterville1/latest-frame.jpg
Porterville 2,porterville,alertcalifornia,active,online,Tulare,Porterville 1,-118.96,36.08,https://cameras.alertcalifornia.org/?id=Axis-Porterville2,https://cameras.alertcalifornia.org/?pos=36.08_-118.96_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Porterville2/latest-frame.jpg
Bald Mtn. (Tulare) 1,baldmtnsequoia,alertcalifornia,active,offline,Tulare,Bald Mtn. (Tulare) 2,-118.25,36.01,https://cameras.alertcalifornia.org/?id=Axis-BaldMtnSequoia1,https://cameras.alertcalifornia.org/?pos=36.01_-118.25_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BaldMtnSequoia1/latest-frame.jpg
Bald Mtn. (Tulare) 2,baldmtnsequoia,alertcalifornia,active,online,Tulare,Bald Mtn. (Tulare) 1,-118.25,36.01,https://cameras.alertcalifornia.org/?id=Axis-BaldMtnSequoia2,https://cameras.alertcalifornia.org/?pos=36.01_-118.25_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BaldMtnSequoia2/latest-frame.jpg
Oat Mtn. (Tulare) 1,oatmtntulare,alertcalifornia,active,online,Tulare,Oat Mtn. (Tulare) 2,-118.79,36,https://cameras.alertcalifornia.org/?id=Axis-OatMtnTulare1,https://cameras.alertcalifornia.org/?pos=36.00_-118.79_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-OatMtnTulare1/latest-frame.jpg
Oat Mtn. (Tulare) 2,oatmtntulare,alertcalifornia,active,online,Tulare,Oat Mtn. (Tulare) 1,-118.79,36,https://cameras.alertcalifornia.org/?id=Axis-OatMtnTulare2,https://cameras.alertcalifornia.org/?pos=36.00_-118.79_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-OatMtnTulare2/latest-frame.jpg
King George Ridge 1,kinggeorge,alertcalifornia,active,online,Tulare,King George Ridge 2,-118.74,35.87,https://cameras.alertcalifornia.org/?id=Axis-KingGeorge1,https://cameras.alertcalifornia.org/?pos=35.87_-118.74_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-KingGeorge1/latest-frame.jpg
King George Ridge 2,kinggeorge,alertcalifornia,active,online,Tulare,King George Ridge 1,-118.74,35.87,https://cameras.alertcalifornia.org/?id=Axis-KingGeorge2,https://cameras.alertcalifornia.org/?pos=35.87_-118.74_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-KingGeorge2/latest-frame.jpg
Tobias Peak 1,tobiaspeak,alertcalifornia,active,online,Tulare,Tobias Peak 2,-118.57,35.85,https://cameras.alertcalifornia.org/?id=Axis-TobiasPeak1,https://cameras.alertcalifornia.org/?pos=35.85_-118.57_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-TobiasPeak1/latest-frame.jpg
Tobias Peak 2,tobiaspeak,alertcalifornia,active,online,Tulare,Tobias Peak 1,-118.57,35.85,https://cameras.alertcalifornia.org/?id=Axis-TobiasPeak2,https://cameras.alertcalifornia.org/?pos=35.85_-118.57_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-TobiasPeak2/latest-frame.jpg
Posey Fire Station 1,posey,alertcalifornia,active,online,Tulare,Posey Fire Station 2,-118.63,35.8,https://cameras.alertcalifornia.org/?id=Axis-Posey1,https://cameras.alertcalifornia.org/?pos=35.80_-118.63_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Posey1/latest-frame.jpg
Posey Fire Station 2,posey,alertcalifornia,active,online,Tulare,Posey Fire Station 1,-118.63,35.8,https://cameras.alertcalifornia.org/?id=Axis-Posey2,https://cameras.alertcalifornia.org/?pos=35.80_-118.63_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Posey2/latest-frame.jpg
Garces HWY 1,garceshwy,alertcalifornia,active,online,Kern,Garces HWY 2,-119.05,35.76,https://cameras.alertcalifornia.org/?id=Axis-GarcesHwy1,https://cameras.alertcalifornia.org/?pos=35.76_-119.05_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-GarcesHwy1/latest-frame.jpg
Garces HWY 2,garceshwy,alertcalifornia,active,online,Kern,Garces HWY 1,-119.05,35.76,https://cameras.alertcalifornia.org/?id=Axis-GarcesHwy2,https://cameras.alertcalifornia.org/?pos=35.76_-119.05_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-GarcesHwy2/latest-frame.jpg
Blue Mtn. (Kern) 1,bluemtnkern,alertcalifornia,active,online,Kern,Blue Mtn. (Kern) 2,-118.75,35.75,https://cameras.alertcalifornia.org/?id=Axis-BlueMtnKern1,https://cameras.alertcalifornia.org/?pos=35.75_-118.75_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BlueMtnKern1/latest-frame.jpg
Blue Mtn. (Kern) 2,bluemtnkern,alertcalifornia,active,online,Kern,Blue Mtn. (Kern) 1,-118.75,35.75,https://cameras.alertcalifornia.org/?id=Axis-BlueMtnKern2,https://cameras.alertcalifornia.org/?pos=35.75_-118.75_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BlueMtnKern2/latest-frame.jpg
Shirley Peak 1,shirleypeak,alertcalifornia,active,online,Kern,Shirley Peak 2,-118.55,35.7,https://cameras.alertcalifornia.org/?id=Axis-ShirleyPeak1,https://cameras.alertcalifornia.org/?pos=35.70_-118.55_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ShirleyPeak1/latest-frame.jpg
Shirley Peak 2,shirleypeak,alertcalifornia,active,online,Kern,Shirley Peak 1,-118.55,35.7,https://cameras.alertcalifornia.org/?id=Axis-ShirleyPeak2,https://cameras.alertcalifornia.org/?pos=35.70_-118.55_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ShirleyPeak2/latest-frame.jpg
Rocky Point 1,rockypoint,alertcalifornia,active,online,Kern,Rocky Point 2,-118.42,35.68,https://cameras.alertcalifornia.org/?id=Axis-RockyPoint1,https://cameras.alertcalifornia.org/?pos=35.68_-118.42_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-RockyPoint1/latest-frame.jpg
Rocky Point 2,rockypoint,alertcalifornia,active,online,Kern,Rocky Point 1,-118.42,35.68,https://cameras.alertcalifornia.org/?id=Axis-RockyPoint2,https://cameras.alertcalifornia.org/?pos=35.68_-118.42_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-RockyPoint2/latest-frame.jpg
Fay Ranch Rd 1,fayranch,alertcalifornia,active,online,Kern,Fay Ranch Rd 2,-118.29,35.66,https://cameras.alertcalifornia.org/?id=Axis-FayRanch1,https://cameras.alertcalifornia.org/?pos=35.66_-118.29_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-FayRanch1/latest-frame.jpg
Fay Ranch Rd 2,fayranch,alertcalifornia,active,online,Kern,Fay Ranch Rd 1,-118.29,35.66,https://cameras.alertcalifornia.org/?id=Axis-FayRanch2,https://cameras.alertcalifornia.org/?pos=35.66_-118.29_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-FayRanch2/latest-frame.jpg
Schill Hill 1,schillhill,alertcalifornia,active,online,Kern,Schill Hill 2,-118.8,35.63,https://cameras.alertcalifornia.org/?id=Axis-SchillHill1,https://cameras.alertcalifornia.org/?pos=35.63_-118.80_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-SchillHill1/latest-frame.jpg
Schill Hill 2,schillhill,alertcalifornia,active,online,Kern,Schill Hill 1,-118.8,35.63,https://cameras.alertcalifornia.org/?id=Axis-SchillHill2,https://cameras.alertcalifornia.org/?pos=35.63_-118.80_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-SchillHill2/latest-frame.jpg
Pine Mtn. (Kern) 1,pinemtn,alertcalifornia,active,online,Kern,Pine Mtn. (Kern) 2,-118.77,35.56,https://cameras.alertcalifornia.org/?id=Axis-PineMtnKern1,https://cameras.alertcalifornia.org/?pos=35.56_-118.77_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-PineMtnKern1/latest-frame.jpg
Pine Mtn. (Kern) 2,pinemtn,alertcalifornia,active,online,Kern,Pine Mtn. (Kern) 1,-118.77,35.56,https://cameras.alertcalifornia.org/?id=Axis-PineMtnKern2,https://cameras.alertcalifornia.org/?pos=35.56_-118.77_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-PineMtnKern2/latest-frame.jpg
Bird Springs 1,birdsprings,alertcalifornia,active,online,Kern,Bird Springs 2,-118.14,35.53,https://cameras.alertcalifornia.org/?id=Axis-BirdSprings1,https://cameras.alertcalifornia.org/?pos=35.53_-118.14_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BirdSprings1/latest-frame.jpg
Bird Springs 2,birdsprings,alertcalifornia,active,online,Kern,Bird Springs 1,-118.14,35.53,https://cameras.alertcalifornia.org/?id=Axis-BirdSprings2,https://cameras.alertcalifornia.org/?pos=35.53_-118.14_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-BirdSprings2/latest-frame.jpg
Mebane 1,mebane,alertcalifornia,active,online,Kern,Mebane 2,-118.71,35.51,https://cameras.alertcalifornia.org/?id=Axis-Mebane1,https://cameras.alertcalifornia.org/?pos=35.51_-118.71_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Mebane1/latest-frame.jpg
Mebane 2,mebane,alertcalifornia,active,online,Kern,Mebane 1,-118.71,35.51,https://cameras.alertcalifornia.org/?id=Axis-Mebane2,https://cameras.alertcalifornia.org/?pos=35.51_-118.71_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-Mebane2/latest-frame.jpg
El Paso 1,elpaso,alertcalifornia,active,online,Kern,El Paso 2,-117.7,35.47,https://cameras.alertcalifornia.org/?id=Axis-ElPaso1,https://cameras.alertcalifornia.org/?pos=35.47_-117.70_10,https://cameras.alertcalifornia.org/public-camera-data/Axis-ElPaso1/latest-frame.jpg
